Year,Median Magnitude,Number of Earthquakes
2012,2.9,13
2012,2.7,11
2012,2.8,15
2012,2.8,11
2012,2.7,11
2012,2.7,14
2012,2.8,15
2012,2.7,12
2012,2.8,13
2012,2.8,11
2012,2.8,15
2012,2.8,13
2013,2.6,15
2013,2.7,12
2013,2.7,14
2013,2.7,13
2013,2.7,15
2013,2.7,14
2013,2.7,13
2013,2.7,12
2013,2.7,13
2013,2.7,12
2013,2.7,12
2013,2.7,11
2014,3.4,12
2014,3.4,6
2014,3.5,7
2014,2.8,7
2014,2.7,11
2014,2.7,10
2014,2.7,11
2014,2.7,10
2014,2.7,10
2014,2.7,10
2014,2.7,10
2014,2.7,10
2015,2.7,11
2015,2.7,10
2015,2.7,11
2015,2.7,10
2015,2.7,10
2015,2.7,11
2015,2.7,12
2015,2.7,11
2015,2.7,12
2015,2.7,12
2015,2.7,10
2015,2.7,13
2016,2.8,10
2016,2.7,10
2016,2.7,11
2016,2.7,10
2016,2.7,10
2016,2.7,11
2016,2.7,11
2016,2.7,12
2016,2.7,12
2016,2.7,12
2016,2.8,11
2016,2.8,11
2017,2.9,19
2017,2.7,17
2017,2.8,17
2017,2.7,16
2017,2.8,20
2017,2.7,17
2017,2.8,18
2017,2.7,16
2017,2.7,15
2017,2.7,16
2017,2.7,10
2017,2.8,11
